feature_name,dose,pvalue,tstat,fc
M70T578,1,0.322319472,1.11616682,1.2055355
M70T460,1,0.763906285,0.315913098,1.021479628
M70T301,1,0.159740072,-1.498827224,0.872510457
M70T519,1,0.326930663,-1.023596614,0.879763573
M70T367,1,0.972257425,-0.035719577,0.994550312
M70T336,1,0.08396013,-1.975315142,0.880973526
M71T26_1,1,0.329617123,1.051767677,1.188395128
M71T378,1,0.338185733,1.075958748,1.506348612
M71T398,1,0.415615125,-0.859210838,0.945999634
M71T519,1,0.79611606,-0.266065447,0.973403851
M71T408,1,0.984374129,0.019976991,1.001179129
M71T486,1,0.594930395,-0.548637213,0.884316549
M71T292,1,0.300356647,-1.087245741,0.796337976
M71T26_5,1,0.873333396,0.163315622,1.025007938
M72T430,1,0.999462138,-0.000692476,0.999938699
M72T234,1,0.64304434,0.479969658,1.184022536
M72T406,1,0.861459547,-0.178018679,0.975781054
M73T508,1,0.763574876,-0.315891624,0.940710709
M73T406,1,0.066995747,-2.028252694,0.841756338
M73T26_2,1,0.780601643,-0.284735581,0.969155503
M73T547_1,1,0.980736939,0.02521181,1.003277952
M73T495_1,1,0.800959854,0.258972361,1.029217525
M73T559,1,0.754071406,-0.322801108,0.935434031
M73T26_3,1,0.420174694,0.879436805,1.217870283
M73T495_2,1,0.392463307,-0.887558278,0.944255693
M74T547,1,0.693092704,0.4173807,1.056961981
M74T495,1,0.240087516,-1.286304867,0.921823712
M74T544,1,0.687083157,0.42230583,1.079496382
M74T460,1,0.089429735,-1.838947251,0.900004708
M74T517,1,0.799314098,-0.268403912,0.964485025
M74T380,1,0.591548259,-0.602999748,0.890041824
M74T233,1,0.344080567,-1.027327834,0.886830847
M75T27,1,0.623848195,0.514889038,1.046340032
M75T380,1,0.454560128,-0.782049645,0.877869113
M75T457,1,0.385166549,-0.901451012,0.856384969
M75T354,1,0.139258885,-1.625811081,0.808782966
M75T51,1,0.336383761,1.062277959,1.304177947
