sample_name,Class,injection_order,PCB_ID,tube_barcode,animal_number,prep_batch,prep_order,test_substance,Sex,Sex_binary,dose_group,biol_rep,pqn_coeff
RP04_isQC44_pp,QC,123,RP04_isQC44_pp,QC,QC,QC,QC,QC,QC,QC,QC,QC,1.021960397
RP04_isQC45_pp,QC,124,RP04_isQC45_pp,QC,QC,QC,QC,QC,QC,QC,QC,QC,1.011384639
RP04_TS5_DG1_m_rep01_051_pp,Sample,125,X51,12391845,51,2,115,5,M,2,1,1,0.982737121
RP04_TS8_DG2_m_rep01_076_pp,Sample,126,X76,12391870,76,2,120,8,M,2,2,1,0.996937287
RP04_TS7_DG1_m_rep01_061_pp,Sample,127,X61,12391855,61,2,111,7,M,2,1,1,0.916934147
RP04_TS4_DG1_m_rep01_041_pp,Sample,128,X41,12391835,41,2,119,4,M,2,1,1,0.95829203
RP04_TS7_DG2_m_rep01_066_pp,Sample,129,X66,12391860,66,2,118,7,M,2,2,1,0.940558202
RP04_isQC46_pp,QC,130,RP04_isQC46_pp,QC,QC,QC,QC,QC,QC,QC,QC,QC,0.969697006
RP04_TS8_DG1_m_rep01_071_pp,Sample,131,X71,12391865,71,2,109,8,M,2,1,1,0.966180475
RP04_TS3_DG1_m_rep01_031_pp,Sample,132,X31,12391825,31,2,117,3,M,2,1,1,0.917674184
RP04_TS2_DG2_m_rep01_026_pp,Sample,133,X26,12391820,26,2,124,2,M,2,2,1,0.971244723
RP04_TS1_DG1_m_rep01_011_pp,Sample,134,X11,12391805,11,2,121,1,M,2,1,1,0.937726516
RP04_TS0_DG0_m_rep10_010_pp,Sample,135,X10,12391804,10,2,179,0,M,2,0,10,0.897896149
RP04_isQC47_pp,QC,136,RP04_isQC47_pp,QC,QC,QC,QC,QC,QC,QC,QC,QC,0.972197643
RP04_TS9_DG2_m_rep01_086_pp,Sample,137,X86,12391880,86,2,110,9,M,2,2,1,0.926354592
RP04_TS1_DG2_m_rep01_016_pp,Sample,138,X16,12391810,16,2,116,1,M,2,2,1,0.919270581
RP04_TS2_DG1_m_rep01_021_pp,Sample,139,X21,12391815,21,2,114,2,M,2,1,1,1.037091478
RP04_TS9_DG1_m_rep01_081_pp,Sample,140,X81,12391875,81,2,123,9,M,2,1,1,0.908514684
RP04_TS3_DG2_m_rep01_036_pp,Sample,141,X36,12391830,36,2,112,3,M,2,2,1,0.872083298
RP04_isQC48_pp,QC,142,RP04_isQC48_pp,QC,QC,QC,QC,QC,QC,QC,QC,QC,0.951384483
RP04_TS0_DG0_m_rep01_001_pp,Sample,143,X1,12391795,1,2,125,0,M,2,0,1,0.971665973
RP04_TS5_DG2_m_rep01_056_pp,Sample,144,X56,12391850,56,2,122,5,M,2,2,1,0.983245672
RP04_TS4_DG2_m_rep01_046_pp,Sample,145,X46,12391840,46,2,126,4,M,2,2,1,0.955534493
RP04_TS2_DG2_m_rep03_028_pp,Sample,146,X28,12391822,28,2,157,2,M,2,2,3,0.943183945
RP04_TS8_DG1_m_rep03_073_pp,Sample,147,X73,12391867,73,2,161,8,M,2,1,3,0.99417001
RP04_isQC49_pp,QC,148,RP04_isQC49_pp,QC,QC,QC,QC,QC,QC,QC,QC,QC,1.013062398
RP04_TS3_DG2_m_rep03_038_pp,Sample,149,X38,12391832,38,2,158,3,M,2,2,3,0.899755775
RP04_TS1_DG1_m_rep03_013_pp,Sample,150,X13,12391807,13,2,149,1,M,2,1,3,0.962595847
RP04_TS7_DG1_m_rep03_063_pp,Sample,151,X63,12391857,63,2,153,7,M,2,1,3,0.970323093
RP04_TS2_DG1_m_rep03_023_pp,Sample,152,X23,12391817,23,2,155,2,M,2,1,3,1.06997814
RP04_TS9_DG2_m_rep03_088_pp,Sample,153,X88,12391882,88,2,150,9,M,2,2,3,0.948129207
RP04_isQC50_pp,QC,154,RP04_isQC50_pp,QC,QC,QC,QC,QC,QC,QC,QC,QC,0.993346222
RP04_TS5_DG1_m_rep03_053_pp,Sample,155,X53,12391847,53,2,151,5,M,2,1,3,0.955770704
RP04_TS3_DG1_m_rep03_033_pp,Sample,156,X33,12391827,33,2,145,3,M,2,1,3,0.89963859
RP04_TS1_DG2_m_rep03_018_pp,Sample,157,X18,12391812,18,2,154,1,M,2,2,3,0.888736609
RP04_TS5_DG2_m_rep03_058_pp,Sample,158,X58,12391852,58,2,156,5,M,2,2,3,0.909408129
RP04_TS7_DG2_m_rep03_068_pp,Sample,159,X68,12391862,68,2,160,7,M,2,2,3,0.895961763
RP04_isQC51_pp,QC,160,RP04_isQC51_pp,QC,QC,QC,QC,QC,QC,QC,QC,QC,1.022804021
RP04_TS4_DG2_m_rep03_048_pp,Sample,161,X48,12391842,48,2,152,4,M,2,2,3,0.828528983
RP04_TS4_DG1_m_rep03_043_pp,Sample,162,X43,12391837,43,2,162,4,M,2,1,3,0.891177
RP04_TS9_DG1_m_rep03_083_pp,Sample,163,X83,12391877,83,2,147,9,M,2,1,3,0.916144179
RP04_TS0_DG0_m_rep03_003_pp,Sample,164,X3,12391797,3,2,159,0,M,2,0,3,0.973886179
RP04_TS0_DG0_m_rep06_006_pp,Sample,165,X6,12391800,6,2,106,0,M,2,0,6,0.942776315
RP04_isQC52_pp,QC,166,RP04_isQC52_pp,QC,QC,QC,QC,QC,QC,QC,QC,QC,1.009859364
RP04_TS8_DG2_m_rep03_078_pp,Sample,167,X78,12391872,78,2,148,8,M,2,2,3,1.030107306
RP04_TS5_DG1_m_rep02_052_pp,Sample,168,X52,12391846,52,2,178,5,M,2,1,2,0.951060026
RP04_TS0_DG0_m_rep02_002_pp,Sample,169,X2,12391796,2,2,174,0,M,2,0,2,0.995809888
RP04_TS7_DG2_m_rep02_067_pp,Sample,170,X67,12391861,67,2,167,7,M,2,2,2,0.912299665
RP04_TS9_DG1_m_rep02_082_pp,Sample,171,X82,12391876,82,2,172,9,M,2,1,2,0.916959292
RP04_isQC53_pp,QC,172,RP04_isQC53_pp,QC,QC,QC,QC,QC,QC,QC,QC,QC,1.036670328
RP04_TS1_DG1_m_rep02_012_pp,Sample,173,X12,12391806,12,2,168,1,M,2,1,2,0.979001848
RP04_TS2_DG1_m_rep02_022_pp,Sample,174,X22,12391816,22,2,171,2,M,2,1,2,1.046378422
RP04_TS8_DG1_m_rep02_072_pp,Sample,175,X72,12391866,72,2,164,8,M,2,1,2,0.777101382
RP04_TS4_DG1_m_rep02_042_pp,Sample,176,X42,12391836,42,2,176,4,M,2,1,2,0.915676924
RP04_TS7_DG1_m_rep02_062_pp,Sample,177,X62,12391856,62,2,170,7,M,2,1,2,0.959560189
RP04_isQC54_pp,QC,178,RP04_isQC54_pp,QC,QC,QC,QC,QC,QC,QC,QC,QC,0.974860946
RP04_TS0_DG0_m_rep07_007_pp,Sample,179,X7,12391801,7,2,146,0,M,2,0,7,0.967516956
RP04_TS4_DG2_m_rep02_047_pp,Sample,180,X47,12391841,47,2,165,4,M,2,2,2,0.923932428
RP04_TS2_DG2_m_rep02_027_pp,Sample,181,X27,12391821,27,2,169,2,M,2,2,2,1.014122281
RP04_TS3_DG2_m_rep02_037_pp,Sample,182,X37,12391831,37,2,177,3,M,2,2,2,0.911128637
RP04_TS3_DG1_m_rep02_032_pp,Sample,183,X32,12391826,32,2,166,3,M,2,1,2,0.998422451
RP04_isQC55_pp,QC,184,RP04_isQC55_pp,QC,QC,QC,QC,QC,QC,QC,QC,QC,1.017201927
RP04_TS1_DG2_m_rep02_017_pp,Sample,185,X17,12391811,17,2,175,1,M,2,2,2,0.984967737
RP04_TS5_DG2_m_rep02_057_pp,Sample,186,X57,12391851,57,2,180,5,M,2,2,2,1.060196476
RP04_TS8_DG2_m_rep02_077_pp,Sample,187,X77,12391871,77,2,173,8,M,2,2,2,0.953427095
RP04_TS9_DG2_m_rep02_087_pp,Sample,188,X87,12391881,87,2,163,9,M,2,2,2,0.971530662
